,Category,Original Metadata,Metadata Match,Context,Possible Matches
0,Address,Corporate Address,Address,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['Delaware', 'Palo Alto', 'Chicago', 'IL']"
1,Time,Effective Date,Effective Date,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['November 15, 2016', '94303']"
2,Time,Effective Date,Effective Date,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['November 15, 2016', '94303']"
3,Person,Client Name,Client Name,"1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.1.5 ""Designated System"" means Customer's or Metric Stream's computer hardware and operating system designated on the relevant Order Form.1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.",[]
4,Time,Effective Date,Effective Date,"1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.",[]
5,Time,Effective Date,Effective Date,"1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.",[]
6,Person,Client Name,Client Name,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the Order Form.1.14 ""Work Product” means all work for hire performed by Metric Stream in a SOW for Customer excluding any of MetricStreami's Pre-existing Works.2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.",['Metric Stream']
7,Agreement,Agreement Type,Amendment,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
8,Legal,Client Consent required to assign - Y/N,Client Consent,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
9,Time,Effective Date,Effective Date,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
10,Time,Effective Date,Effective Date,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
11,Fee,Cloud Fee,Cloud Fee,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",[]
12,Fee,License Fee,License Fee,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",[]
