,Category,Original Metadata,Metadata Match,Context,Possible Matches
0,Date,Effective Date,Effective Date,"Report Name: Checklist and Questions Report  Column Details:  Quality Review Category ID Quality Review Category Checklist ID Checklist Name Question ID Question Reason Code ID Reason Code Reason Description  Note: 1) Extracts will be shared on daily basis at the defined time (Based on regional stakeholders’ expectation) 2) Format of the file would be ‘.txt’ 3) System would overwrite the file daily in the outbox folder 4) Also, admins from specific regions can run the job from UI (Application) whenever they want   DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBD		2019-10-22T20:45:32-0700	Digitally verifiable PDF exported from www.docusign.comMetricStream  1  WORK ORDER This  work order (“Work Order”), dated as of 17th July 2019 (the “Effective Date”), refers the Master Professional Services Agreement entered into by and between MetricStream, Inc., a Delaware company headquartered at 2479 East Bayshore Road, Suite 260, Palo Alto, California 94303 (“MetricStream” or “Company”) and CHUBB INA HOLDINGS INC.f/k/a/ ACE INA HOLDINGS, INC.",[]
1,Date,Effective Date,Effective Date,"Report Name: Checklist and Questions Report  Column Details:  Quality Review Category ID Quality Review Category Checklist ID Checklist Name Question ID Question Reason Code ID Reason Code Reason Description  Note: 1) Extracts will be shared on daily basis at the defined time (Based on regional stakeholders’ expectation) 2) Format of the file would be ‘.txt’ 3) System would overwrite the file daily in the outbox folder 4) Also, admins from specific regions can run the job from UI (Application) whenever they want   DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBD		2019-10-22T20:45:32-0700	Digitally verifiable PDF exported from www.docusign.comMetricStream  1  WORK ORDER This  work order (“Work Order”), dated as of 17th July 2019 (the “Effective Date”), refers the Master Professional Services Agreement entered into by and between MetricStream, Inc., a Delaware company headquartered at 2479 East Bayshore Road, Suite 260, Palo Alto, California 94303 (“MetricStream” or “Company”) and CHUBB INA HOLDINGS INC.f/k/a/ ACE INA HOLDINGS, INC.",[]
2,Legal,Other Order Form Terms,Other Order Form Terms," MetricStream and Customer may be referred to individually as a “Party” and collectively as the “Parties.Work Order Number WO-001 – PQAP Activity/Project PQAP Data Mart  Agreement pursuant to which this Work Order is [made/placed] Master Professional Services Agreement dated December 2, 2013 Commencement Date 17th July 2019 [Completion Date] 10 Weeks Site/location for delivery of the Software/Services/Deliverables MetricStream Offices in Palo Alto, CA and Bangalore, India Or London or location it is being delivered Customer contact Rosas, Jorge A MetricStream contact Raman Shrivastava Unless otherwise stated in this Work Order, capitalized terms have the meaning set forth in the Agreement.MetricStream agrees to perform the Services described in this Work Order, on the terms set out or otherwise referred to herein.",[]
3,Legal,Other Order Form Terms,Other Order Form Terms,"Work Order Number WO-001 – PQAP Activity/Project PQAP Data Mart  Agreement pursuant to which this Work Order is [made/placed] Master Professional Services Agreement dated December 2, 2013 Commencement Date 17th July 2019 [Completion Date] 10 Weeks Site/location for delivery of the Software/Services/Deliverables MetricStream Offices in Palo Alto, CA and Bangalore, India Or London or location it is being delivered Customer contact Rosas, Jorge A MetricStream contact Raman Shrivastava Unless otherwise stated in this Work Order, capitalized terms have the meaning set forth in the Agreement.MetricStream agrees to perform the Services described in this Work Order, on the terms set out or otherwise referred to herein.1 Scope of Work - Description of Services:  Data Mart: Report extracts to be shared with regions via SFTP.",[]
4,Agreement,breach,breach,"If new columns (data dimensions) are required, MetricStream will estimate any potential additional cost.2 Assumptions:  NA 3 Commercial Terms:  3.1 Professional Services Fee: USD 12,244  (to be paid in one single payment) DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBDMetricStream  2  3.2  Milestones breakup Sl.No Milestones and Deliverables  % Fees Acceptance 1 Delivering EMEA Report Extracts  25 3,061 Sign off on EMEA Report Extract 2 Delivering LATAM Report Extracts 25 3,061 Sign off on LATAM Report Extract 3 Delivering COG Report Extracts 25 3,061 Sign off on COG Report Extract 4 Delivering APAC Report Extracts 25 3,061 Sign off on APAC Report Extract  4 Following will be schedule for delivering the Data Mart Extracts on to Production     5 Training and Training Materials: DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBDMetricStream  3  MetricStream will be providing necessary training on how to access the Data Mart Extracts from the SFTP server.",[]
5,Financial,Payment term,Payment term,"If new columns (data dimensions) are required, MetricStream will estimate any potential additional cost.2 Assumptions:  NA 3 Commercial Terms:  3.1 Professional Services Fee: USD 12,244  (to be paid in one single payment) DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBDMetricStream  2  3.2  Milestones breakup Sl.No Milestones and Deliverables  % Fees Acceptance 1 Delivering EMEA Report Extracts  25 3,061 Sign off on EMEA Report Extract 2 Delivering LATAM Report Extracts 25 3,061 Sign off on LATAM Report Extract 3 Delivering COG Report Extracts 25 3,061 Sign off on COG Report Extract 4 Delivering APAC Report Extracts 25 3,061 Sign off on APAC Report Extract  4 Following will be schedule for delivering the Data Mart Extracts on to Production     5 Training and Training Materials: DocuSign Envelope ID: 31F62A46-154B-4051-BACB-9A9CC6927F79DocuSign Envelope ID: EF117283-7426-4B4D-BC89-C143B114FDBDMetricStream  3  MetricStream will be providing necessary training on how to access the Data Mart Extracts from the SFTP server.",[]
6,Legal,Client Consent required to assign - Y/N,Client Consent," Formal acceptance by Chubb should be done after UAT.7 Governance: The services performed under this work order will be governed by Client and Metricstream team’s as a part of ongoing IA technology implementation project 8 Roles and Responsibilities:  MetricStream Responsibilities: MetricStream will capture the data mart requirements for each region of Chubb, document them and deliver software patch to deploy it in UAT and Production environment.CHUBB Responsibilities: Client will provide an appropriate level resource to provide Metricstream reasonable access to business and technical contacts (if needed), background information and Production data sources.",[]
7,Legal,Other Order Form Terms,Other Order Form Terms,"CHUBB Responsibilities: Client will provide an appropriate level resource to provide Metricstream reasonable access to business and technical contacts (if needed), background information and Production data sources. If there is any conflict between the terms of the Agreement and those of this Work Order, the terms of this Work Order shall govern the relationship between the Parties.This Work Order may be executed in counterparts, each of which shall be deemed an original, but all of which taken together shall constitute one single document between the Parties.",[]
8,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term," If there is any conflict between the terms of the Agreement and those of this Work Order, the terms of this Work Order shall govern the relationship between the Parties.This Work Order may be executed in counterparts, each of which shall be deemed an original, but all of which taken together shall constitute one single document between the Parties.Except as amended herein, all terms and conditions of the Agreement shall remain in full force and effect.",[]
9,Date,Term End Date,Term End Date,"Except as amended herein, all terms and conditions of the Agreement shall remain in full force and effect.IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Work Order to be executed by their duly authorized representatives as of the later date written below.    METRICSTREAM, INC.",[]
