,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
0,FHLB_Chicago_2016_Renewal.pdf,Address,Corporate Address,Address,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['Palo Alto', 'Chicago', 'Delaware']"
2,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['November 15, 2016', 'CA 94303']"
4,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['November 15, 2016', 'CA 94303']"
5,FHLB_Chicago_2016_Renewal.pdf,Date,Fully Executed Date,Fully Executed Date,"If Company reasonably believes that a Security Breach is likely to occur or determines that there has been an actual Security Breach, Company shall: Page 18  MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.","['November 15, 2016', 'CA 94303']"
17,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.1.0 DEFINITIONS ""Cloud Services"" ineans the network access, monitoring and maintenance of the Metric Stream Software and related services provided from a centrally located facility, as described in an Exhibit A (Order Form) attached hereto and incorporated herein to this Agreement.","['the “Agreement""']"
18,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the “Agreement"") is entered into effective as of November 15, 2016 (""Effective Date"") by and between MetricStream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company""), and Federal Home Loan Bank of Chicago, with its principal place of business at 200 E Randolph Drive, 18th Floor, Chicago, IL 60601 (“Bank"" or ""Customer"") to permit Customer to receive certain Cloud services as set forth below.When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.1.0 DEFINITIONS ""Cloud Services"" ineans the network access, monitoring and maintenance of the Metric Stream Software and related services provided from a centrally located facility, as described in an Exhibit A (Order Form) attached hereto and incorporated herein to this Agreement.","['the “Agreement""']"
19,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.1.0 DEFINITIONS ""Cloud Services"" ineans the network access, monitoring and maintenance of the Metric Stream Software and related services provided from a centrally located facility, as described in an Exhibit A (Order Form) attached hereto and incorporated herein to this Agreement.1,2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services.",[]
20,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"When completed and executed by both parties, one or more Order Forms shall evidence the Services to be provided.1.0 DEFINITIONS ""Cloud Services"" ineans the network access, monitoring and maintenance of the Metric Stream Software and related services provided from a centrally located facility, as described in an Exhibit A (Order Form) attached hereto and incorporated herein to this Agreement.1,2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services.",[]
28,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"The obligations set forth in Section 7 shall not apply to the extent that Confidential Information includes information which is: (a) now or hereafter, through no unauthorized act or failure to act on the Receiving Party's part, in the public domain; (b) known to the Receiving Party without an obligation of confidentiality at the time the Receiving Party receives the same from the Disclosing Party, as evidenced by written records; (c) hereafter furnished to the Receiving Party by a third party as a matter of right and without restriction on disclosure; (d) furnished to others by the Disclosing Party without restriction on disclosure; or (e) independently developed by the Receiving Party without use of the Disclosing Party's Confidential Information.Nothing in this Agreement shall prevent the Receiving Party from disclosing Confidential Information to the extent the Receiving Party is legally compelled to do so by any governmental investigative or judicial agency pursuant to proceedings over which such agency has jurisdiction; provided, however, that prior to any such disclosure, the Receiving Party shall: (i) assert the confidential nature of the Confidential Information to the agency; (ii) immediately notify the Disclosing Party in writing of the agency's order or request to disclose; and (iii) cooperate fully with the Disclosing Party in protecting against any such disclosure and/or obtaining a protective order narrowing the scope of the compelled disclosure and protecting its confidentiality.1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.",['Section 7']
29,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"The obligations set forth in Section 7 shall not apply to the extent that Confidential Information includes information which is: (a) now or hereafter, through no unauthorized act or failure to act on the Receiving Party's part, in the public domain; (b) known to the Receiving Party without an obligation of confidentiality at the time the Receiving Party receives the same from the Disclosing Party, as evidenced by written records; (c) hereafter furnished to the Receiving Party by a third party as a matter of right and without restriction on disclosure; (d) furnished to others by the Disclosing Party without restriction on disclosure; or (e) independently developed by the Receiving Party without use of the Disclosing Party's Confidential Information.Nothing in this Agreement shall prevent the Receiving Party from disclosing Confidential Information to the extent the Receiving Party is legally compelled to do so by any governmental investigative or judicial agency pursuant to proceedings over which such agency has jurisdiction; provided, however, that prior to any such disclosure, the Receiving Party shall: (i) assert the confidential nature of the Confidential Information to the agency; (ii) immediately notify the Disclosing Party in writing of the agency's order or request to disclose; and (iii) cooperate fully with the Disclosing Party in protecting against any such disclosure and/or obtaining a protective order narrowing the scope of the compelled disclosure and protecting its confidentiality.1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.",['Section 7']
