,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
0,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"		2019-12-23T17:29:01-0800	Digitally verifiable PDF exported from www.docusign.comMetricStream  1 | P a g e      MS-INF-CLD-PRM/SUBS EXHIBIT  ORDER FORM NO.3 This Order Form (“Order Form”) supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc., and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016.",[]
2,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"MetricStream  1 | P a g e      MS-INF-CLD-PRM/SUBS EXHIBIT  ORDER FORM NO.3 This Order Form (“Order Form”) supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc., and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016.MetricStream and Customer may be referred to individually as a “Party” and collectively as the “Parties.”",[]
20,FHLBC 1Year Renewal for Internal Audit.pdf,Product,License Type,License Type,"For good and valuable consideration, the receipt and sufficiency of which is acknowledged, the MetricStream will provide Customer with the following additional content:  Cloud Application: MetricStream will provide the Customer with the following Application(s):  Internal Audit, Enterprise Risk Management, Compliance Management and Premium Cloud Hosting. Type of License:   Annual Subscription License. Number of Authorized Users: 30 Regular, 50 Medium, and 500 Light Users.",[]
21,FHLBC 1Year Renewal for Internal Audit.pdf,Product,"License Type, licensed users","License Type, licensed users"," Type of License:   Annual Subscription License. Number of Authorized Users: 30 Regular, 50 Medium, and 500 Light Users. Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019.",[]
30,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Subscription Beginning Date,Start Date," Number of Authorized Users: 30 Regular, 50 Medium, and 500 Light Users. Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).","['November 1, 2019', 'Subscription Begin Date', '12 months']"
33,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Subscription Beginning Date, Term Start Date","Start Date, Term Start Date"," Number of Authorized Users: 30 Regular, 50 Medium, and 500 Light Users. Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).","['November 1, 2019', 'Subscription Begin Date', '12 months']"
34,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form," Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term.",[]
43,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Subscription Beginning Date,Start Date," Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term.","['12 months', 'less than 90 days', 'Subscription Begin Date', 'November 1, 2019', 'each year']"
45,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Term End Date,Term End Date," Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term.","['12 months', 'less than 90 days', 'Subscription Begin Date', 'November 1, 2019', 'each year']"
46,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Subscription Beginning Date, Term Start Date","Start Date, Term Start Date"," Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term.","['12 months', 'less than 90 days', 'Subscription Begin Date', 'November 1, 2019', 'each year']"
49,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms"," Subscription Begin Date: The Subscription Begin Date shall be November 1, 2019. Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term.",[]
50,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form," Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term. License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.",[]
55,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms"," Subscription Term: 12 months starting from Subscription Begin Date of this Order Form (‘Initial Term’).On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term. License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.",[]
59,FHLBC 1Year Renewal for Internal Audit.pdf,Fee,Auto fee increase (Y/N),Auto fee increase,"On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term. License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form.","['63,600', '43,036']"
60,FHLBC 1Year Renewal for Internal Audit.pdf,Fee,Cloud Fee,Cloud Fee,"On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term. License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form.","['63,600', '43,036']"
61,FHLBC 1Year Renewal for Internal Audit.pdf,Fee,License Fee,License Fee,"On expiry of the Initial Term, this Order Form will automatically renew each year thereafter (each a ‘Term’) unless, either Party notifies its intention not to renew the Term, with written notice of not less than 90 days before the end of the then current Term. License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form.","['63,600', '43,036']"
68,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form," License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form.",[]
71,FHLBC 1Year Renewal for Internal Audit.pdf,Fee,Cloud Fee,Cloud Fee," License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form.","['63,600', '43,036']"
72,FHLBC 1Year Renewal for Internal Audit.pdf,Fee,License Fee,License Fee," License Fee: $43,036  Cloud Services Fee: $63,600   Invoice Schedule: As used herein, “Fees” are defined as, collectively or individually, the License Fee and Cloud Services Fee.First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form.","['63,600', '43,036']"
78,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.",[]
80,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Renewal Date, Invoice billing date for renewals-- period/days (Days we can bill prior to renewal term start), Renewal Potice Date","Invoice billing date for renewal, Renewal Date, Renewal Notice Date","First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.","['First year', 'each year', '30 days']"
