,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
1,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Effective Date,Effective Date,"MetricStream AMENDMENT NO.1 This amendment (“Amendment 1""), dated as of February 6, 2018 (the ""Effective Date”), amends the Application Service Provider Agreement entered into by and between MetricStream, Inc., a Delaware company headquartered at 2479 East Bayshore Road, Suite 260, Palo Alto, California 94303 (""MetricStream"" or ""Company”) and the Federal Home Loan Bank of Chicago, headquartered at 200 East Randolph Drive (""Customer”) and dated November 15, 2016 (“Agreement”).MetricStream and Customer may be referred to individually as a ""Party"" and collectively as the ""Parties.""","['November 15, 2016', '94303', 'February 6, 2018']"
3,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Effective Date,Effective Date,"MetricStream AMENDMENT NO.1 This amendment (“Amendment 1""), dated as of February 6, 2018 (the ""Effective Date”), amends the Application Service Provider Agreement entered into by and between MetricStream, Inc., a Delaware company headquartered at 2479 East Bayshore Road, Suite 260, Palo Alto, California 94303 (""MetricStream"" or ""Company”) and the Federal Home Loan Bank of Chicago, headquartered at 200 East Randolph Drive (""Customer”) and dated November 15, 2016 (“Agreement”).MetricStream and Customer may be referred to individually as a ""Party"" and collectively as the ""Parties.""","['November 15, 2016', '94303', 'February 6, 2018']"
20,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,General.The Parties seek to amend the Agreement pursuant to the terms of this Amendment 1.All capitalized terms used but not defined herein shall have the meaning assigned to them in the Agreement.,['Amendment']
24,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,The Parties seek to amend the Agreement pursuant to the terms of this Amendment 1.All capitalized terms used but not defined herein shall have the meaning assigned to them in the Agreement.Amended Terms.,['Amendment']
28,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"All capitalized terms used but not defined herein shall have the meaning assigned to them in the Agreement.Amended Terms.(i) Customer wishes to license, and Metric Stream agrees to license, the following Applications; (1) UCF; and (2) COBIT5; therefor the parties will execute the attached Order Form No.",[]
29,FHLB_Chicago_2016_renewal_no_opportunity.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","All capitalized terms used but not defined herein shall have the meaning assigned to them in the Agreement.Amended Terms.(i) Customer wishes to license, and Metric Stream agrees to license, the following Applications; (1) UCF; and (2) COBIT5; therefor the parties will execute the attached Order Form No.",[]
30,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Agreement,Agreement Type,Order Form,"Amended Terms.(i) Customer wishes to license, and Metric Stream agrees to license, the following Applications; (1) UCF; and (2) COBIT5; therefor the parties will execute the attached Order Form No.Miscellaneous.",[]
37,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"Miscellaneous.If there is any conflict between the terms of the Agreement and those of this Amendment 1, the terms of this Amendment 1 shall govern the relationship between the Parties.This Amendment 1 may be executed in counterparts, each of which shall be deemed an original, but all of which taken together shall constitute one single document between the Parties.",['Amendment 1']
41,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"This Amendment 1 may be executed in counterparts, each of which shall be deemed an original, but all of which taken together shall constitute one single document between the Parties.Except as amended herein, all terms and conditions of the Agreement shall remain in full force and effect.IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Amendment 1 to be executed by their duly authorized representatives as of the later date written below.",[]
49,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Fully Executed Date,Fully Executed Date,"Except as amended herein, all terms and conditions of the Agreement shall remain in full force and effect.IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Amendment 1 to be executed by their duly authorized representatives as of the later date written below.METRICSTREAM, INC.",[]
53,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Term End Date,Term End Date,"Except as amended herein, all terms and conditions of the Agreement shall remain in full force and effect.IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Amendment 1 to be executed by their duly authorized representatives as of the later date written below.METRICSTREAM, INC.",[]
57,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Agreement,Agreement Type,Order Form,"METRICSTREAM, INC.FEDERAL HOME LOAN BANK OF CHICAGO By: By: alle Thomas fargen Sinha Name: Gunjan Title: Executive Chailman 2/28118 Name: Title: Date: Thomas H W Harper EVP/ GA 26-Feb-18 Date:    MetricStream Exhibit A Order Form No.2 This Order Form No.2 (""Order Form No.",[]
70,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Agreement,Agreement Type,Order Form,"FEDERAL HOME LOAN BANK OF CHICAGO By: By: alle Thomas fargen Sinha Name: Gunjan Title: Executive Chailman 2/28118 Name: Title: Date: Thomas H W Harper EVP/ GA 26-Feb-18 Date:    MetricStream Exhibit A Order Form No.2 This Order Form No.2 (""Order Form No.2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).",[]
72,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Agreement,Agreement Type,Order Form,"2 This Order Form No.2 (""Order Form No.2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.",[]
75,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Effective Date,Effective Date,"2 This Order Form No.2 (""Order Form No.2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.","['September 30, 2019', 'November 15, 2016', 'Annual', 'February 6, 2018']"
77,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Effective Date,Effective Date,"2 This Order Form No.2 (""Order Form No.2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.","['September 30, 2019', 'November 15, 2016', 'Annual', 'February 6, 2018']"
89,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.",[]
90,FHLB_Chicago_2016_renewal_no_opportunity.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.",[]
93,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Product,License Type,License Type,"2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.",[]
94,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Product,"License Type, licensed users","License Type, licensed users","2""), dated as of February 6, 2018 (the “Order Form Effective Date""), supplements the Application Service Provider Agreement entered into by and between MetricStream, Inc. (“MetricStream” or “Company'), and the Federal Home Loan Bank of Chicago (“Customer”) and dated November 15, 2016 (“Agreement”).Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.",[]
98,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Fee,Cloud Fee,Cloud Fee,"Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.","['20,178', '3,000', '99', '2,178', '$15,000']"
99,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Fee,License Fee,License Fee,"Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.","['20,178', '3,000', '99', '2,178', '$15,000']"
105,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Product,License Type,License Type,"Cloud Application: Metric Stream will provide the Customer with the following Applications: O UCF ($15,000/year) for 3 UCF Users O UCF ($2,178/year) for 22 additional UCF Users ($99/year for each UCF user) o COBITS ($3,000/year) Type of License: Annual Subscription License Number of Authorized Users: See Above Term: The term for the above referenced Applications begin on February 6, 2018 and shall continue until September 30, 2019 and is coterminous with Customer's suite of licensed Applications as set forth in the Agreement.License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.",[]
107,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Fee,Cloud Fee,Cloud Fee,"License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.","['20,178']"
108,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Fee,License Fee,License Fee,"License Fee: $20,178 Cloud Services Fees: N/A Invoice Schedule: First year's fee is due upon signing of the Agreement.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.","['20,178']"
119,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Agreement,Agreement Type,Order Form,"For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.",[]
122,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Financial,Payment term,Payment term,"For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.",[]
123,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.",[]
124,FHLB_Chicago_2016_renewal_no_opportunity.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement.Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.",[]
131,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Fully Executed Date,Fully Executed Date,"Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.METRICSTREAM, INC.",['the later date']
135,FHLB_Chicago_2016_renewal_no_opportunity.pdf,Date,Term End Date,Term End Date,"Payment Terms: Net 30 Invoice Address: FHLB Chicago 200 East Randolph Chicago, Illinois 60601 Attn: Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768 IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form No.2 to be executed by their duly authorized representatives as of the later date written below.METRICSTREAM, INC.",['the later date']
