,Category,Original_Keyword,Searched_Keyword,sentence_number,Text,Secondary_Term,Secondary_Synonym,Secondary_Context
0,Time,date,date,0," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.","['effective', 'notice', 'subscription', 'term', 'term']","['effective', 'notice', 'subscription', 'condition', 'term']","4 Page 110116 v.1   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions."
1,Agreement,agreement,agreement,0," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.",[],[],
2,Legal,law,law,0," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.",[],[],
3,Time,term,condition,1,"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.",['order'],['order']," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms."
4,Time,term,term,1,"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.",['order'],['order']," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms."
5,Product,license,license,1,"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.",[],[],
6,Legal,term,condition,1,"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.",['order'],['order']," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms."
7,Legal,term,term,1,"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.",['order'],['order']," DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream METRICSTREAM APPLICATION SERVICE PROVIDER AGREEMENT This APPLICATION SERVICE PROVIDER AGREEMENT (the ""Agreement”) is entered into by and between Metric Stream, Inc., a Delaware corporation with its principal place of business at 2479 East Bayshore Rd, Suite 260, Palo Alto, CA 94303 (“MetricStream"" or ""Company'), and ""Customer"" (each a ""Party"" and collectively the “Parties"") as of the ""Effective Date” (both as defined below): “Effective Date” 16th June 2017 “Customer"" Acciona SA with its principal place of business at Av.Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms."
8,Time,term,condition,2,"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.",['order'],['order'],"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement."
9,Time,term,term,2,"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.",['order'],['order'],"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement."
